Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Bird,Species_Cat,Species_Dog,Species_Lionhead,Species_Rabbit Sh,Species_Species_Kitten
2025-11-13,86,53.0,50.0,12.67,30.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-13,86,53.0,50.0,10.97,12.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-13,86,53.0,50.0,7.53,0.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-13,86,53.0,50.0,7.53,0.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-13,86,53.0,50.0,7.53,0.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-13,86,53.0,50.0,7.53,16.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-13,86,53.0,50.0,7.23,7.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-13,86,53.0,50.0,5.67,0.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-13,86,53.0,50.0,5.67,0.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-13,86,53.0,50.0,4.93,8.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-13,86,53.0,50.0,4.43,16.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-13,86,53.0,50.0,3.93,77.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-11-13,86,53.0,50.0,3.87,39.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-13,86,53.0,50.0,3.77,6.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-13,86,53.0,50.0,3.77,6.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-13,86,53.0,50.0,3.07,3.75,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-11-13,86,53.0,50.0,2.97,8.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-11-13,86,53.0,50.0,2.8,5.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-11-13,86,53.0,50.0,2.47,2.5,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-11-13,86,53.0,50.0,2.4,3.25,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-11-13,86,53.0,50.0,2.4,3.25,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-11-13,86,53.0,50.0,2.4,97.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-11-13,86,53.0,50.0,2.37,3.5,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-11-13,86,53.0,50.0,2.37,3.5,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-11-13,86,53.0,50.0,2.33,12.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-13,86,53.0,50.0,1.93,67.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-13,86,53.0,50.0,1.7,49.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-11-13,86,53.0,50.0,1.67,37.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-11-13,86,53.0,50.0,1.63,25.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-13,86,53.0,50.0,1.6,3.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-11-13,86,53.0,50.0,1.6,2.75,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-11-13,86,53.0,50.0,1.6,2.75,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-11-13,86,53.0,50.0,1.57,61.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-11-13,86,53.0,50.0,1.57,37.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-11-13,86,53.0,50.0,1.5,5.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-13,86,53.0,50.0,1.43,25.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-11-13,86,53.0,50.0,1.3,97.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-13,86,53.0,50.0,1.17,13.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-13,86,53.0,50.0,1.17,13.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-13,86,53.0,50.0,1.13,3.25,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-11-13,86,53.0,50.0,0.97,24.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
