Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Lionhead,Species_Rabbit Sh,Species_Species_Kitten
2025-11-07,101,50.0,0.0,0.73,24.0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
2025-11-07,101,50.0,0.0,0.7,8.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-11-07,101,50.0,0.0,0.7,107.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2025-11-07,101,50.0,0.0,0.67,60.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2025-11-07,101,50.0,0.0,0.57,12.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-11-07,101,50.0,0.0,0.53,12.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-11-07,101,50.0,0.0,0.47,8.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-11-07,101,50.0,0.0,0.47,24.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2025-11-07,101,50.0,0.0,0.47,24.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2025-11-07,101,50.0,0.0,0.43,12.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-11-07,101,50.0,0.0,0.4,2.5,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-11-07,101,50.0,0.0,0.4,2.5,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-11-07,101,50.0,0.0,0.37,14.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-11-07,101,50.0,0.0,0.37,96.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-11-07,101,50.0,0.0,0.37,6.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-11-07,101,50.0,0.0,0.37,60.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-11-07,101,50.0,0.0,0.37,72.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-11-07,101,50.0,0.0,0.33,2.5,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-11-07,101,50.0,0.0,0.3,12.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2025-11-07,101,50.0,0.0,0.3,12.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2025-11-07,101,50.0,0.0,0.3,84.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-11-07,101,50.0,0.0,0.3,12.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2025-11-07,101,50.0,0.0,0.3,12.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
