Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Rabbit Sh,Species_Species_Kitten
2025-04-29,54,52.0,50.0,6.8,150.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-04-29,54,52.0,50.0,6.4,42.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-04-29,54,52.0,50.0,6.3,6.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-04-29,54,52.0,50.0,6.07,24.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-04-29,54,52.0,50.0,5.7,53.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-29,54,52.0,50.0,4.37,5.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-04-29,54,52.0,50.0,4.3,16.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-04-29,54,52.0,50.0,4.3,16.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-04-29,54,52.0,50.0,3.87,46.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-29,54,52.0,50.0,2.3,86.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-29,54,52.0,50.0,2.03,19.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-29,54,52.0,50.0,1.7,41.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-29,54,52.0,50.0,1.6,6.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-04-29,54,52.0,50.0,1.6,5.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
