Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Rabbit Sh,Species_Species_Kitten
2025-04-28,53,51.0,0.0,6.77,150.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-04-28,53,51.0,0.0,6.37,42.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-04-28,53,51.0,0.0,6.27,6.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-04-28,53,51.0,0.0,6.03,24.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-04-28,53,51.0,0.0,5.67,53.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-28,53,51.0,0.0,4.33,5.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-04-28,53,51.0,0.0,4.27,16.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-04-28,53,51.0,0.0,4.27,16.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-04-28,53,51.0,0.0,3.83,46.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-28,53,51.0,0.0,2.27,86.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-28,53,51.0,0.0,2.0,19.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-28,53,51.0,0.0,1.67,41.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-28,53,51.0,0.0,1.57,6.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-04-28,53,51.0,0.0,1.57,5.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-04-28,53,51.0,0.0,1.43,49.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-28,53,51.0,0.0,1.33,61.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-28,53,51.0,0.0,1.1,92.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-28,53,51.0,0.0,1.0,120.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-04-28,53,51.0,0.0,0.8,48.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-28,53,51.0,0.0,0.77,25.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-28,53,51.0,0.0,0.7,60.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-28,53,51.0,0.0,0.6,36.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-28,53,51.0,0.0,0.5,60.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-28,53,51.0,0.0,0.43,72.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-28,53,51.0,0.0,0.43,48.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-28,53,51.0,0.0,0.43,40.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-28,53,51.0,0.0,0.4,9.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-04-28,53,51.0,0.0,0.4,9.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-04-28,53,51.0,0.0,0.37,36.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-04-28,53,51.0,0.0,0.3,48.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-04-28,53,51.0,0.0,0.27,36.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-28,53,51.0,0.0,0.23,26.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-04-28,53,51.0,0.0,0.2,12.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-28,53,51.0,0.0,0.17,12.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-04-28,53,51.0,0.0,0.17,12.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-04-28,53,51.0,0.0,0.17,12.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-04-28,53,51.0,0.0,0.17,12.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-04-28,53,51.0,0.0,0.17,38.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-04-28,53,51.0,0.0,0.17,24.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-04-28,53,51.0,0.0,0.17,12.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-04-28,53,51.0,0.0,0.17,12.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-04-28,53,51.0,0.0,0.17,84.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-04-28,53,51.0,0.0,0.17,12.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-04-28,53,51.0,0.0,0.17,67.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-28,53,51.0,0.0,0.17,12.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-04-28,53,51.0,0.0,0.17,24.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-04-28,53,51.0,0.0,0.13,38.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-04-28,53,51.0,0.0,0.13,48.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-04-28,53,51.0,0.0,0.13,24.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-04-28,53,51.0,0.0,0.13,22.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-28,53,51.0,0.0,0.13,8.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-04-28,53,51.0,0.0,0.1,25.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-28,53,51.0,0.0,0.07,38.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
