Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Bird,Species_Cat,Species_Dog,Species_Dwarf,Species_Rabbit Sh,Species_Species_Kitten
2025-06-01,72,53.0,50.0,0.17,2.25,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,0.17,24.0,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-06-01,72,53.0,50.0,0.17,2.25,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,0.17,24.0,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-06-01,72,53.0,50.0,0.13,2.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-06-01,72,53.0,50.0,0.13,20.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-06-01,72,53.0,50.0,0.13,13.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-06-01,72,53.0,50.0,0.1,2.25,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,0.1,2.25,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,0.1,25.0,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-06-01,72,53.0,50.0,0.1,2.25,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,0.07,3.5,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,0.07,3.5,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,0.07,3.5,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,0.07,3.5,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,0.07,3.5,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,0.07,3.5,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,0.07,0.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2025-06-01,72,53.0,50.0,0.03,2.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,0.03,2.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,0.03,2.25,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,0.03,2.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,0.03,2.25,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,0.03,2.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
