Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Cat,Species_Dog,Species_Lop-Mini,Species_Rabbit Sh,Species_Species_Kitten
2025-07-21,75,59.0,0.0,8.83,27.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-21,75,59.0,0.0,7.13,8.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-21,75,59.0,0.0,6.63,49.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-21,75,59.0,0.0,4.47,44.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-21,75,59.0,0.0,3.6,51.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-21,75,59.0,0.0,3.0,15.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-21,75,59.0,0.0,2.97,70.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-21,75,59.0,0.0,2.4,26.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-21,75,59.0,0.0,2.33,4.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-21,75,59.0,0.0,2.33,4.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-21,75,59.0,0.0,2.33,4.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-21,75,59.0,0.0,1.93,45.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-21,75,59.0,0.0,1.83,3.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-21,75,59.0,0.0,1.83,3.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-21,75,59.0,0.0,1.83,0.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-21,75,59.0,0.0,1.83,0.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-21,75,59.0,0.0,1.8,17.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-21,75,59.0,0.0,1.6,73.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-21,75,59.0,0.0,1.57,54.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-21,75,59.0,0.0,1.47,2.25,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-21,75,59.0,0.0,1.47,2.25,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-21,75,59.0,0.0,1.47,2.25,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-21,75,59.0,0.0,1.4,73.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-21,75,59.0,0.0,1.33,73.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-21,75,59.0,0.0,1.3,30.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-07-21,75,59.0,0.0,0.83,36.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-21,75,59.0,0.0,0.8,2.75,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-21,75,59.0,0.0,0.8,24.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-07-21,75,59.0,0.0,0.73,48.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-21,75,59.0,0.0,0.67,27.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-07-21,75,59.0,0.0,0.67,36.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-21,75,59.0,0.0,0.67,3.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-21,75,59.0,0.0,0.67,3.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-21,75,59.0,0.0,0.67,15.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-07-21,75,59.0,0.0,0.6,4.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-21,75,59.0,0.0,0.6,4.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-21,75,59.0,0.0,0.57,120.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-21,75,59.0,0.0,0.53,3.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-21,75,59.0,0.0,0.53,36.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-21,75,59.0,0.0,0.47,3.5,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-21,75,59.0,0.0,0.4,24.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-21,75,59.0,0.0,0.4,10.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-21,75,59.0,0.0,0.37,6.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-21,75,59.0,0.0,0.37,36.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-07-21,75,59.0,0.0,0.37,48.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-21,75,59.0,0.0,0.33,36.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-07-21,75,59.0,0.0,0.33,12.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-07-21,75,59.0,0.0,0.3,24.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-21,75,59.0,0.0,0.27,18.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-07-21,75,59.0,0.0,0.23,2.75,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-21,75,59.0,0.0,0.23,48.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-21,75,59.0,0.0,0.23,25.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-21,75,59.0,0.0,0.23,2.25,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-21,75,59.0,0.0,0.23,2.75,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-21,75,59.0,0.0,0.2,6.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-21,75,59.0,0.0,0.2,24.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-07-21,75,59.0,0.0,0.2,24.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-21,75,59.0,0.0,0.2,2.25,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-21,75,59.0,0.0,0.2,122.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-07-21,75,59.0,0.0,0.13,13.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-07-21,75,59.0,0.0,0.13,2.5,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-21,75,59.0,0.0,0.13,2.5,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-21,75,59.0,0.0,0.13,2.25,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-21,75,59.0,0.0,0.13,2.25,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-21,75,59.0,0.0,0.13,2.5,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-21,75,59.0,0.0,0.13,2.5,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-21,75,59.0,0.0,0.1,3.25,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-21,75,59.0,0.0,0.1,3.25,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-21,75,59.0,0.0,0.1,3.25,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-21,75,59.0,0.0,0.1,3.25,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-21,75,59.0,0.0,0.1,3.25,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-21,75,59.0,0.0,0.1,3.25,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-21,75,59.0,0.0,0.07,7.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-21,75,59.0,0.0,0.07,84.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-07-21,75,59.0,0.0,0.03,12.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
