Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Rabbit Sh,Species_Species_Kitten
2025-06-17,80,59.0,0.0,0.37,62.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,0.37,36.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-06-17,80,59.0,0.0,0.37,27.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,0.37,36.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-06-17,80,59.0,0.0,0.3,48.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-06-17,80,59.0,0.0,0.27,3.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-06-17,80,59.0,0.0,0.23,24.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-06-17,80,59.0,0.0,0.23,24.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-06-17,80,59.0,0.0,0.2,12.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-06-17,80,59.0,0.0,0.2,72.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,0.2,36.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-06-17,80,59.0,0.0,0.2,24.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,0.17,2.25,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-06-17,80,59.0,0.0,0.17,94.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-06-17,80,59.0,0.0,0.17,2.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-06-17,80,59.0,0.0,0.17,12.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-06-17,80,59.0,0.0,0.17,12.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-06-17,80,59.0,0.0,0.13,9.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,0.13,36.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-06-17,80,59.0,0.0,0.13,2.25,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-06-17,80,59.0,0.0,0.13,36.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-06-17,80,59.0,0.0,0.1,2.5,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-06-17,80,59.0,0.0,0.1,2.75,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-06-17,80,59.0,0.0,0.1,2.75,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-06-17,80,59.0,0.0,0.1,2.25,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-06-17,80,59.0,0.0,0.1,2.25,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-06-17,80,59.0,0.0,0.1,2.75,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-06-17,80,59.0,0.0,0.03,14.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
