Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Cat,Species_Dog,Species_Dwarf,Species_Lop-Mini,Species_Rabbit Sh,Species_Species_Kitten,Species_Turtle
2025-07-23,77,66.0,0.0,8.9,27.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-07-23,77,66.0,0.0,7.2,8.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-07-23,77,66.0,0.0,6.7,49.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2025-07-23,77,66.0,0.0,4.53,44.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2025-07-23,77,66.0,0.0,3.67,51.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2025-07-23,77,66.0,0.0,3.07,15.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2025-07-23,77,66.0,0.0,3.03,70.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2025-07-23,77,66.0,0.0,2.3,14.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-07-23,77,66.0,0.0,2.0,45.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2025-07-23,77,66.0,0.0,1.9,13.0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
2025-07-23,77,66.0,0.0,1.9,0.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-07-23,77,66.0,0.0,1.9,3.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,1.9,3.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,1.9,0.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-07-23,77,66.0,0.0,1.9,3.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,1.9,3.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,1.87,17.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2025-07-23,77,66.0,0.0,1.67,73.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2025-07-23,77,66.0,0.0,1.63,3.5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,1.63,3.5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,1.63,54.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2025-07-23,77,66.0,0.0,1.53,2.25,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,1.53,2.25,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,1.53,2.25,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,1.47,73.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2025-07-23,77,66.0,0.0,1.4,73.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2025-07-23,77,66.0,0.0,0.9,36.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2025-07-23,77,66.0,0.0,0.87,24.0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
2025-07-23,77,66.0,0.0,0.87,3.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,0.8,48.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2025-07-23,77,66.0,0.0,0.73,3.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,0.73,15.0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
2025-07-23,77,66.0,0.0,0.73,3.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,0.67,4.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-07-23,77,66.0,0.0,0.67,4.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-07-23,77,66.0,0.0,0.63,120.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2025-07-23,77,66.0,0.0,0.6,3.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,0.6,36.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2025-07-23,77,66.0,0.0,0.53,3.75,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2025-07-23,77,66.0,0.0,0.47,24.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2025-07-23,77,66.0,0.0,0.47,10.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2025-07-23,77,66.0,0.0,0.43,48.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2025-07-23,77,66.0,0.0,0.43,61.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2025-07-23,77,66.0,0.0,0.4,36.0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
2025-07-23,77,66.0,0.0,0.4,12.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-23,77,66.0,0.0,0.37,24.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2025-07-23,77,66.0,0.0,0.33,18.0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
2025-07-23,77,66.0,0.0,0.3,48.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2025-07-23,77,66.0,0.0,0.3,25.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2025-07-23,77,66.0,0.0,0.27,122.0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
2025-07-23,77,66.0,0.0,0.27,24.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2025-07-23,77,66.0,0.0,0.27,6.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2025-07-23,77,66.0,0.0,0.27,24.0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
2025-07-23,77,66.0,0.0,0.23,18.0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
2025-07-23,77,66.0,0.0,0.2,2.5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,0.2,2.25,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
