Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Dwarf,Species_Lop-Mini,Species_Rabbit Sh,Species_Species_Kitten
2025-07-25,69,62.0,0.0,0.3,120.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
2025-07-25,69,62.0,0.0,0.3,120.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
2025-07-25,69,62.0,0.0,0.3,18.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
2025-07-25,69,62.0,0.0,0.27,13.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
2025-07-25,69,62.0,0.0,0.27,2.25,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-07-25,69,62.0,0.0,0.27,2.75,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-07-25,69,62.0,0.0,0.23,3.25,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-07-25,69,62.0,0.0,0.23,12.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
2025-07-25,69,62.0,0.0,0.23,48.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-07-25,69,62.0,0.0,0.23,12.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-07-25,69,62.0,0.0,0.23,74.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-07-25,69,62.0,0.0,0.23,3.25,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-07-25,69,62.0,0.0,0.2,108.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-07-25,69,62.0,0.0,0.2,12.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
2025-07-25,69,62.0,0.0,0.2,3.25,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-07-25,69,62.0,0.0,0.17,12.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-07-25,69,62.0,0.0,0.17,48.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-07-25,69,62.0,0.0,0.07,3.75,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-07-25,69,62.0,0.0,0.07,2.5,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-07-25,69,62.0,0.0,0.07,2.5,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-07-25,69,62.0,0.0,0.03,15.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
