Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Cat,Species_Dog,Species_Guinea Pig,Species_Rabbit Sh,Species_Species_Kitten
2025-07-14,77,76.0,0.0,8.83,9.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-14,77,76.0,0.0,8.6,27.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-14,77,76.0,0.0,6.9,8.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-14,77,76.0,0.0,6.4,49.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-14,77,76.0,0.0,3.37,51.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-14,77,76.0,0.0,2.97,11.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-14,77,76.0,0.0,2.97,11.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-14,77,76.0,0.0,2.87,62.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-14,77,76.0,0.0,2.77,15.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-14,77,76.0,0.0,2.73,70.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-14,77,76.0,0.0,2.1,4.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-14,77,76.0,0.0,2.1,4.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-14,77,76.0,0.0,2.1,4.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-14,77,76.0,0.0,1.7,45.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-14,77,76.0,0.0,1.6,0.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-14,77,76.0,0.0,1.6,0.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-14,77,76.0,0.0,1.6,2.75,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-14,77,76.0,0.0,1.57,17.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-14,77,76.0,0.0,1.4,37.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-07-14,77,76.0,0.0,1.37,73.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-14,77,76.0,0.0,1.33,54.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-14,77,76.0,0.0,1.3,103.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-14,77,76.0,0.0,1.17,73.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-14,77,76.0,0.0,1.17,26.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-07-14,77,76.0,0.0,1.1,72.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-07-14,77,76.0,0.0,1.07,30.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
