Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Cat,Species_Dog,Species_Dutch,Species_Rabbit Sh
2025-04-13,39,46.0,0.0,6.27,150.0,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False
2025-04-13,39,46.0,0.0,5.87,41.0,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False
2025-04-13,39,46.0,0.0,5.77,6.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2025-04-13,39,46.0,0.0,5.53,13.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2025-04-13,39,46.0,0.0,5.17,53.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2025-04-13,39,46.0,0.0,3.83,5.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2025-04-13,39,46.0,0.0,3.77,15.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2025-04-13,39,46.0,0.0,3.77,15.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2025-04-13,39,46.0,0.0,3.33,46.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2025-04-13,39,46.0,0.0,1.77,85.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2025-04-13,39,46.0,0.0,1.5,19.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2025-04-13,39,46.0,0.0,1.4,37.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2025-04-13,39,46.0,0.0,1.17,40.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2025-04-13,39,46.0,0.0,1.1,25.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2025-04-13,39,46.0,0.0,1.0,24.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2025-04-13,39,46.0,0.0,0.93,48.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2025-04-13,39,46.0,0.0,0.87,12.0,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2025-04-13,39,46.0,0.0,0.83,60.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2025-04-13,39,46.0,0.0,0.8,24.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2025-04-13,39,46.0,0.0,0.67,72.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2025-04-13,39,46.0,0.0,0.57,25.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2025-04-13,39,46.0,0.0,0.57,12.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2025-04-13,39,46.0,0.0,0.5,25.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2025-04-13,39,46.0,0.0,0.5,24.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2025-04-13,39,46.0,0.0,0.37,36.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2025-04-13,39,46.0,0.0,0.33,24.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2025-04-13,39,46.0,0.0,0.3,24.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2025-04-13,39,46.0,0.0,0.3,24.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2025-04-13,39,46.0,0.0,0.3,48.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2025-04-13,39,46.0,0.0,0.3,58.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2025-04-13,39,46.0,0.0,0.27,25.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2025-04-13,39,46.0,0.0,0.23,6.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2025-04-13,39,46.0,0.0,0.23,7.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2025-04-13,39,46.0,0.0,0.23,24.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2025-04-13,39,46.0,0.0,0.23,6.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2025-04-13,39,46.0,0.0,0.23,24.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2025-04-13,39,46.0,0.0,0.17,36.0,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False
2025-04-13,39,46.0,0.0,0.17,78.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2025-04-13,39,46.0,0.0,0.1,24.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
