Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Cat,Species_Dog,Species_Dutch,Species_Rabbit Sh
2025-04-14,37,50.0,0.0,6.3,150.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-04-14,37,50.0,0.0,5.9,41.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-04-14,37,50.0,0.0,5.8,6.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-04-14,37,50.0,0.0,5.57,24.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-04-14,37,50.0,0.0,5.2,53.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-14,37,50.0,0.0,3.87,5.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-04-14,37,50.0,0.0,3.8,15.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-04-14,37,50.0,0.0,3.8,15.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-04-14,37,50.0,0.0,3.37,46.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-14,37,50.0,0.0,1.8,85.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-14,37,50.0,0.0,1.53,19.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-14,37,50.0,0.0,1.43,37.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-14,37,50.0,0.0,1.2,40.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-14,37,50.0,0.0,1.13,25.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-14,37,50.0,0.0,1.03,25.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-14,37,50.0,0.0,0.97,48.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-14,37,50.0,0.0,0.9,12.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-04-14,37,50.0,0.0,0.87,60.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-14,37,50.0,0.0,0.63,92.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-14,37,50.0,0.0,0.6,12.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-14,37,50.0,0.0,0.6,25.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-14,37,50.0,0.0,0.53,24.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-14,37,50.0,0.0,0.4,36.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-14,37,50.0,0.0,0.37,25.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-14,37,50.0,0.0,0.33,48.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-14,37,50.0,0.0,0.33,24.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-14,37,50.0,0.0,0.33,24.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-14,37,50.0,0.0,0.33,58.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-14,37,50.0,0.0,0.3,25.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-14,37,50.0,0.0,0.27,6.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-04-14,37,50.0,0.0,0.27,24.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-14,37,50.0,0.0,0.27,7.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-14,37,50.0,0.0,0.27,6.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-04-14,37,50.0,0.0,0.23,24.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-14,37,50.0,0.0,0.23,8.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-14,37,50.0,0.0,0.2,78.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-14,37,50.0,0.0,0.13,24.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
