Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Dwarf,Species_Rabbit Sh,Species_Species_Kitten
2025-08-08,38,58.0,0.0,9.43,27.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-08-08,38,58.0,0.0,7.73,9.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-08-08,38,58.0,0.0,7.23,50.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-08-08,38,58.0,0.0,3.6,16.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-08-08,38,58.0,0.0,3.57,61.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-08-08,38,58.0,0.0,2.83,14.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-08-08,38,58.0,0.0,2.53,46.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-08-08,38,58.0,0.0,2.43,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-08-08,38,58.0,0.0,2.43,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-08-08,38,58.0,0.0,2.4,17.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-08-08,38,58.0,0.0,2.0,73.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-08-08,38,58.0,0.0,1.93,73.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-08-08,38,58.0,0.0,1.33,49.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-08-08,38,58.0,0.0,1.13,36.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-08-08,38,58.0,0.0,1.07,4.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-08-08,38,58.0,0.0,0.97,60.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-08-08,38,58.0,0.0,0.7,74.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-08-08,38,58.0,0.0,0.63,48.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-08-08,38,58.0,0.0,0.57,48.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-08-08,38,58.0,0.0,0.5,2.5,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-08-08,38,58.0,0.0,0.5,2.5,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-08-08,38,58.0,0.0,0.47,36.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2025-08-08,38,58.0,0.0,0.47,74.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-08-08,38,58.0,0.0,0.3,24.0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
2025-08-08,38,58.0,0.0,0.3,24.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-08-08,38,58.0,0.0,0.27,63.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-08-08,38,58.0,0.0,0.27,24.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-08-08,38,58.0,0.0,0.23,12.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2025-08-08,38,58.0,0.0,0.23,24.0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
2025-08-08,38,58.0,0.0,0.23,12.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2025-08-08,38,58.0,0.0,0.23,44.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-08-08,38,58.0,0.0,0.23,24.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2025-08-08,38,58.0,0.0,0.23,12.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2025-08-08,38,58.0,0.0,0.23,24.0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
2025-08-08,38,58.0,0.0,0.2,12.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-08-08,38,58.0,0.0,0.03,48.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-08-08,38,58.0,0.0,0.03,24.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-08-08,38,58.0,0.0,0.03,12.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
