Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Bird,Species_Cat,Species_Dog,Species_Lionhead,Species_Lop-Holland,Species_Rabbit Sh,Species_Species_Kitten
2025-11-10,99,51.0,0.0,0.63,12.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2025-11-10,99,51.0,0.0,0.63,2.75,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2025-11-10,99,51.0,0.0,0.57,24.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2025-11-10,99,51.0,0.0,0.57,24.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2025-11-10,99,51.0,0.0,0.53,12.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-11-10,99,51.0,0.0,0.5,36.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-11-10,99,51.0,0.0,0.5,2.5,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2025-11-10,99,51.0,0.0,0.5,3.75,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2025-11-10,99,51.0,0.0,0.5,2.5,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2025-11-10,99,51.0,0.0,0.47,12.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-11-10,99,51.0,0.0,0.47,72.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-11-10,99,51.0,0.0,0.4,6.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2025-11-10,99,51.0,0.0,0.4,12.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2025-11-10,99,51.0,0.0,0.4,12.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2025-11-10,99,51.0,0.0,0.4,12.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2025-11-10,99,51.0,0.0,0.4,12.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2025-11-10,99,51.0,0.0,0.4,50.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2025-11-10,99,51.0,0.0,0.37,12.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2025-11-10,99,51.0,0.0,0.37,4.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2025-11-10,99,51.0,0.0,0.37,4.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2025-11-10,99,51.0,0.0,0.37,4.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2025-11-10,99,51.0,0.0,0.37,48.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
