Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Bird,Species_Cat,Species_Dog,Species_Rabbit Sh,Species_Species_Kitten
2025-06-02,61,55.0,0.0,7.43,7.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2025-06-02,61,55.0,0.0,7.2,25.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2025-06-02,61,55.0,0.0,5.5,6.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2025-06-02,61,55.0,0.0,5.0,37.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2025-06-02,61,55.0,0.0,3.43,87.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2025-06-02,61,55.0,0.0,2.83,42.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2025-06-02,61,55.0,0.0,2.83,26.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2025-06-02,61,55.0,0.0,2.6,50.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2025-06-02,61,55.0,0.0,2.5,62.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2025-06-02,61,55.0,0.0,2.2,6.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-06-02,61,55.0,0.0,2.1,2.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-06-02,61,55.0,0.0,2.1,2.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-06-02,61,55.0,0.0,1.97,49.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2025-06-02,61,55.0,0.0,1.67,61.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2025-06-02,61,55.0,0.0,1.63,2.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-06-02,61,55.0,0.0,1.63,2.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-06-02,61,55.0,0.0,1.57,10.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2025-06-02,61,55.0,0.0,1.57,10.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2025-06-02,61,55.0,0.0,1.47,61.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2025-06-02,61,55.0,0.0,1.37,14.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2025-06-02,61,55.0,0.0,1.33,69.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2025-06-02,61,55.0,0.0,0.97,14.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2025-06-02,61,55.0,0.0,0.97,12.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2025-06-02,61,55.0,0.0,0.73,54.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2025-06-02,61,55.0,0.0,0.73,10.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2025-06-02,61,55.0,0.0,0.7,120.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2025-06-02,61,55.0,0.0,0.57,24.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2025-06-02,61,55.0,0.0,0.53,36.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2025-06-02,61,55.0,0.0,0.5,96.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2025-06-02,61,55.0,0.0,0.43,84.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
2025-06-02,61,55.0,0.0,0.43,17.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2025-06-02,61,55.0,0.0,0.43,12.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2025-06-02,61,55.0,0.0,0.4,12.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2025-06-02,61,55.0,0.0,0.37,0.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2025-06-02,61,55.0,0.0,0.33,48.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2025-06-02,61,55.0,0.0,0.33,2.5,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-06-02,61,55.0,0.0,0.27,24.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2025-06-02,61,55.0,0.0,0.27,5.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-06-02,61,55.0,0.0,0.27,8.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-06-02,61,55.0,0.0,0.27,8.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-06-02,61,55.0,0.0,0.27,8.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-06-02,61,55.0,0.0,0.27,8.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-06-02,61,55.0,0.0,0.27,24.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2025-06-02,61,55.0,0.0,0.27,26.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
2025-06-02,61,55.0,0.0,0.27,8.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-06-02,61,55.0,0.0,0.27,8.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-06-02,61,55.0,0.0,0.27,8.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-06-02,61,55.0,0.0,0.2,24.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2025-06-02,61,55.0,0.0,0.2,24.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2025-06-02,61,55.0,0.0,0.17,20.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2025-06-02,61,55.0,0.0,0.17,13.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2025-06-02,61,55.0,0.0,0.13,10.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-06-02,61,55.0,0.0,0.13,25.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2025-06-02,61,55.0,0.0,0.1,3.5,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-06-02,61,55.0,0.0,0.1,3.5,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-06-02,61,55.0,0.0,0.1,3.5,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-06-02,61,55.0,0.0,0.1,0.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2025-06-02,61,55.0,0.0,0.07,2.25,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-06-02,61,55.0,0.0,0.07,2.25,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-06-02,61,55.0,0.0,0.07,25.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2025-06-02,61,55.0,0.0,0.07,1.5,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
