Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Bird,Species_Cat,Species_Dog,Species_Lionhead,Species_Rabbit Sh,Species_Species_Kitten
2025-11-11,82,51.0,0.0,0.6,8.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2025-11-11,82,51.0,0.0,0.6,24.0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2025-11-11,82,51.0,0.0,0.57,12.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2025-11-11,82,51.0,0.0,0.53,36.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2025-11-11,82,51.0,0.0,0.5,72.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2025-11-11,82,51.0,0.0,0.5,12.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2025-11-11,82,51.0,0.0,0.43,50.0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2025-11-11,82,51.0,0.0,0.43,12.0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2025-11-11,82,51.0,0.0,0.43,12.0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2025-11-11,82,51.0,0.0,0.43,6.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-11-11,82,51.0,0.0,0.4,4.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-11-11,82,51.0,0.0,0.4,12.0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
2025-11-11,82,51.0,0.0,0.4,4.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-11-11,82,51.0,0.0,0.4,48.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2025-11-11,82,51.0,0.0,0.33,8.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-11-11,82,51.0,0.0,0.3,50.0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2025-11-11,82,51.0,0.0,0.3,48.0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2025-11-11,82,51.0,0.0,0.3,24.0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2025-11-11,82,51.0,0.0,0.3,48.0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2025-11-11,82,51.0,0.0,0.3,25.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2025-11-11,82,51.0,0.0,0.3,12.0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
2025-11-11,82,51.0,0.0,0.27,36.0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
2025-11-11,82,51.0,0.0,0.23,0.0,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
2025-11-11,82,51.0,0.0,0.23,0.0,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
2025-11-11,82,51.0,0.0,0.23,0.0,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
2025-11-11,82,51.0,0.0,0.23,0.0,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
2025-11-11,82,51.0,0.0,0.23,0.0,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
2025-11-11,82,51.0,0.0,0.2,12.0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2025-11-11,82,51.0,0.0,0.17,18.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2025-11-11,82,51.0,0.0,0.1,25.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2025-11-11,82,51.0,0.0,0.1,8.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2025-11-11,82,51.0,0.0,0.1,48.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2025-11-11,82,51.0,0.0,0.03,3.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025-11-11,82,51.0,0.0,0.03,4.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
