Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Bird,Species_Cat,Species_Dog,Species_Guinea Pig,Species_Rabbit Sh,Species_Species_Kitten
2025-10-12,91,53.0,0.0,0.33,24.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-10-12,91,53.0,0.0,0.3,2.25,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-10-12,91,53.0,0.0,0.3,0.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2025-10-12,91,53.0,0.0,0.3,24.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-10-12,91,53.0,0.0,0.3,6.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-10-12,91,53.0,0.0,0.3,11.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-10-12,91,53.0,0.0,0.3,0.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2025-10-12,91,53.0,0.0,0.3,5.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-10-12,91,53.0,0.0,0.3,2.25,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-10-12,91,53.0,0.0,0.3,10.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-10-12,91,53.0,0.0,0.3,12.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-10-12,91,53.0,0.0,0.27,60.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-10-12,91,53.0,0.0,0.27,12.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-10-12,91,53.0,0.0,0.27,12.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-10-12,91,53.0,0.0,0.27,56.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
