Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Bird,Species_Cat,Species_Dog,Species_Dwarf,Species_Hamster,Species_Rabbit Sh,Species_Species_Kitten
2025-08-20,32,66.0,0.0,9.83,28.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-08-20,32,66.0,0.0,8.13,9.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-08-20,32,66.0,0.0,4.0,16.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-08-20,32,66.0,0.0,3.97,61.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-08-20,32,66.0,0.0,3.23,15.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-08-20,32,66.0,0.0,2.83,0.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-08-20,32,66.0,0.0,2.83,0.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-08-20,32,66.0,0.0,2.4,74.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-08-20,32,66.0,0.0,2.33,74.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-08-20,32,66.0,0.0,1.53,37.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-08-20,32,66.0,0.0,1.1,74.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-08-20,32,66.0,0.0,0.7,5.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-08-20,32,66.0,0.0,0.67,64.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-08-20,32,66.0,0.0,0.63,5.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-08-20,32,66.0,0.0,0.47,36.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2025-08-20,32,66.0,0.0,0.47,156.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-08-20,32,66.0,0.0,0.43,25.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2025-08-20,32,66.0,0.0,0.4,12.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2025-08-20,32,66.0,0.0,0.37,5.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-08-20,32,66.0,0.0,0.37,5.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-08-20,32,66.0,0.0,0.33,0.0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
2025-08-20,32,66.0,0.0,0.33,0.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-08-20,32,66.0,0.0,0.3,10.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-08-20,32,66.0,0.0,0.23,4.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-08-20,32,66.0,0.0,0.23,4.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-08-20,32,66.0,0.0,0.23,4.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-08-20,32,66.0,0.0,0.2,2.25,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-08-20,32,66.0,0.0,0.2,2.25,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-08-20,32,66.0,0.0,0.2,2.25,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-08-20,32,66.0,0.0,0.13,2.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-08-20,32,66.0,0.0,0.13,2.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-08-20,32,66.0,0.0,0.1,74.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
