Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Cat,Species_Dog,Species_Mouse,Species_Rabbit Sh,Species_Species_Kitten
2025-07-01,87,72.0,0.0,8.4,8.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-07-01,87,72.0,0.0,8.17,26.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-07-01,87,72.0,0.0,6.47,7.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-07-01,87,72.0,0.0,5.97,48.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,3.8,43.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,2.93,50.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,2.53,11.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-07-01,87,72.0,0.0,2.53,11.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-07-01,87,72.0,0.0,2.43,62.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,2.33,14.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,2.3,70.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,1.93,13.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,1.83,99.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,1.73,25.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,1.67,4.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-07-01,87,72.0,0.0,1.67,4.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-07-01,87,72.0,0.0,1.67,4.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-07-01,87,72.0,0.0,1.67,121.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,1.43,3.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-07-01,87,72.0,0.0,1.27,45.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,1.13,16.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,1.07,25.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,1.07,60.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,1.03,3.25,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-07-01,87,72.0,0.0,0.97,3.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-07-01,87,72.0,0.0,0.97,36.0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-07-01,87,72.0,0.0,0.93,72.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,0.9,24.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,0.9,53.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,0.87,20.0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-07-01,87,72.0,0.0,0.87,20.0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-07-01,87,72.0,0.0,0.87,103.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,0.83,62.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,0.83,27.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,0.77,48.0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-07-01,87,72.0,0.0,0.73,72.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,0.67,72.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,0.67,24.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,0.63,13.0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-07-01,87,72.0,0.0,0.5,6.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,0.47,24.0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-07-01,87,72.0,0.0,0.43,72.0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-07-01,87,72.0,0.0,0.43,2.5,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-07-01,87,72.0,0.0,0.43,24.0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-07-01,87,72.0,0.0,0.4,132.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,0.37,72.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,0.37,3.25,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-07-01,87,72.0,0.0,0.37,84.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,0.33,25.0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-07-01,87,72.0,0.0,0.3,17.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,0.3,0.0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-07-01,87,72.0,0.0,0.3,4.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-07-01,87,72.0,0.0,0.3,0.0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-07-01,87,72.0,0.0,0.27,120.0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-07-01,87,72.0,0.0,0.23,9.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-07-01,87,72.0,0.0,0.23,9.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-07-01,87,72.0,0.0,0.23,15.0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-07-01,87,72.0,0.0,0.2,2.25,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-07-01,87,72.0,0.0,0.2,28.0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-07-01,87,72.0,0.0,0.2,72.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,0.2,2.25,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-07-01,87,72.0,0.0,0.2,13.0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-07-01,87,72.0,0.0,0.2,95.0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-07-01,87,72.0,0.0,0.2,6.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,0.2,24.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,0.17,6.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-07-01,87,72.0,0.0,0.17,24.0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-07-01,87,72.0,0.0,0.17,36.0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-07-01,87,72.0,0.0,0.17,2.5,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-07-01,87,72.0,0.0,0.17,2.75,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-07-01,87,72.0,0.0,0.17,2.5,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-07-01,87,72.0,0.0,0.17,2.5,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-07-01,87,72.0,0.0,0.17,2.5,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-07-01,87,72.0,0.0,0.17,2.75,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-07-01,87,72.0,0.0,0.13,2.25,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-07-01,87,72.0,0.0,0.1,60.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,0.1,5.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-07-01,87,72.0,0.0,0.07,2.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-07-01,87,72.0,0.0,0.07,2.5,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,0.07,2.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-07-01,87,72.0,0.0,0.07,2.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-07-01,87,72.0,0.0,0.07,2.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-07-01,87,72.0,0.0,0.03,18.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-07-01,87,72.0,0.0,0.03,6.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-07-01,87,72.0,0.0,0.03,2.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-07-01,87,72.0,0.0,0.03,2.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-07-01,87,72.0,0.0,0.03,6.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
