Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Guinea Pig,Species_Lionhead,Species_Lop-Holland,Species_Rabbit Sh,Species_Species_Kitten
2025-10-24,104,52.0,0.0,0.63,118.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2025-10-24,104,52.0,0.0,0.63,96.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2025-10-24,104,52.0,0.0,0.63,87.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2025-10-24,104,52.0,0.0,0.6,17.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2025-10-24,104,52.0,0.0,0.6,65.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2025-10-24,104,52.0,0.0,0.57,64.0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
2025-10-24,104,52.0,0.0,0.53,5.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-10-24,104,52.0,0.0,0.53,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-10-24,104,52.0,0.0,0.5,48.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2025-10-24,104,52.0,0.0,0.5,12.0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
2025-10-24,104,52.0,0.0,0.5,2.5,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-10-24,104,52.0,0.0,0.5,2.5,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-10-24,104,52.0,0.0,0.5,12.0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
2025-10-24,104,52.0,0.0,0.5,12.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2025-10-24,104,52.0,0.0,0.5,12.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-10-24,104,52.0,0.0,0.5,2.5,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-10-24,104,52.0,0.0,0.5,2.5,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-10-24,104,52.0,0.0,0.5,12.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-10-24,104,52.0,0.0,0.47,2.5,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-10-24,104,52.0,0.0,0.47,36.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2025-10-24,104,52.0,0.0,0.47,2.5,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-10-24,104,52.0,0.0,0.47,2.5,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-10-24,104,52.0,0.0,0.47,66.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2025-10-24,104,52.0,0.0,0.43,24.0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
2025-10-24,104,52.0,0.0,0.43,2.5,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-10-24,104,52.0,0.0,0.4,2.25,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-10-24,104,52.0,0.0,0.4,25.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2025-10-24,104,52.0,0.0,0.4,7.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-10-24,104,52.0,0.0,0.33,12.0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
2025-10-24,104,52.0,0.0,0.33,24.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
