Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Cat,Species_Dog,Species_Rabbit Sh,Species_Species_Kitten
2025-04-02,45,46.0,0.0,5.9,149.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-04-02,45,46.0,0.0,5.8,14.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-04-02,45,46.0,0.0,5.8,14.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-04-02,45,46.0,0.0,5.5,41.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-04-02,45,46.0,0.0,5.4,5.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-04-02,45,46.0,0.0,5.4,5.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-04-02,45,46.0,0.0,5.4,5.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-04-02,45,46.0,0.0,5.17,13.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-04-02,45,46.0,0.0,4.8,52.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-04-02,45,46.0,0.0,3.47,4.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-04-02,45,46.0,0.0,3.4,15.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-04-02,45,46.0,0.0,3.4,15.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-04-02,45,46.0,0.0,2.97,45.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-04-02,45,46.0,0.0,1.8,73.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-04-02,45,46.0,0.0,1.6,13.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-04-02,45,46.0,0.0,1.4,85.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-04-02,45,46.0,0.0,1.17,96.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-04-02,45,46.0,0.0,1.17,60.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-04-02,45,46.0,0.0,1.13,18.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-04-02,45,46.0,0.0,1.03,36.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-04-02,45,46.0,0.0,0.8,40.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-04-02,45,46.0,0.0,0.77,68.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-04-02,45,46.0,0.0,0.73,24.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-04-02,45,46.0,0.0,0.63,24.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-04-02,45,46.0,0.0,0.57,48.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-04-02,45,46.0,0.0,0.53,34.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-04-02,45,46.0,0.0,0.47,60.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-04-02,45,46.0,0.0,0.43,9.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-04-02,45,46.0,0.0,0.43,24.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-04-02,45,46.0,0.0,0.3,24.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-04-02,45,46.0,0.0,0.3,14.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-04-02,45,46.0,0.0,0.3,72.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-04-02,45,46.0,0.0,0.2,24.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-04-02,45,46.0,0.0,0.2,10.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-04-02,45,46.0,0.0,0.13,2.5,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-04-02,45,46.0,0.0,0.13,2.5,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-04-02,45,46.0,0.0,0.13,25.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-04-02,45,46.0,0.0,0.13,2.5,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-04-02,45,46.0,0.0,0.07,6.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-04-02,45,46.0,0.0,0.07,12.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-04-02,45,46.0,0.0,0.07,24.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-04-02,45,46.0,0.0,0.07,6.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-04-02,45,46.0,0.0,0.07,24.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-04-02,45,46.0,0.0,0.07,25.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-04-02,45,46.0,0.0,0.03,24.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
