Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Bird,Species_Cat,Species_Dog,Species_Dwarf,Species_Goat,Species_Rabbit Sh,Species_Species_Kitten
2025-09-06,54,65.0,0.0,10.4,28.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-09-06,54,65.0,0.0,8.7,10.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-09-06,54,65.0,0.0,5.27,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-09-06,54,65.0,0.0,5.27,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-09-06,54,65.0,0.0,4.53,72.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-09-06,54,65.0,0.0,3.8,15.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2025-09-06,54,65.0,0.0,3.4,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-09-06,54,65.0,0.0,3.4,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-09-06,54,65.0,0.0,2.3,50.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-09-06,54,65.0,0.0,2.17,14.0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
2025-09-06,54,65.0,0.0,1.67,75.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-09-06,54,65.0,0.0,1.27,3.75,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-09-06,54,65.0,0.0,1.23,64.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-09-06,54,65.0,0.0,1.23,2.5,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-09-06,54,65.0,0.0,0.93,5.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-09-06,54,65.0,0.0,0.93,5.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-09-06,54,65.0,0.0,0.87,2.75,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-09-06,54,65.0,0.0,0.87,5.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-09-06,54,65.0,0.0,0.87,10.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-09-06,54,65.0,0.0,0.87,4.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-09-06,54,65.0,0.0,0.83,3.5,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-09-06,54,65.0,0.0,0.83,12.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-09-06,54,65.0,0.0,0.7,24.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-09-06,54,65.0,0.0,0.67,24.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-09-06,54,65.0,0.0,0.67,36.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-09-06,54,65.0,0.0,0.63,6.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-09-06,54,65.0,0.0,0.57,4.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-09-06,54,65.0,0.0,0.57,48.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-09-06,54,65.0,0.0,0.57,25.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-09-06,54,65.0,0.0,0.57,4.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-09-06,54,65.0,0.0,0.5,74.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-09-06,54,65.0,0.0,0.5,12.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-09-06,54,65.0,0.0,0.33,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-09-06,54,65.0,0.0,0.33,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-09-06,54,65.0,0.0,0.3,55.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-09-06,54,65.0,0.0,0.27,0.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
2025-09-06,54,65.0,0.0,0.27,3.25,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-09-06,54,65.0,0.0,0.27,24.0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
2025-09-06,54,65.0,0.0,0.23,60.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-09-06,54,65.0,0.0,0.23,3.25,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-09-06,54,65.0,0.0,0.23,12.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-09-06,54,65.0,0.0,0.2,25.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-09-06,54,65.0,0.0,0.2,0.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
2025-09-06,54,65.0,0.0,0.2,3.25,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-09-06,54,65.0,0.0,0.13,12.0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
2025-09-06,54,65.0,0.0,0.13,4.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-09-06,54,65.0,0.0,0.1,2.5,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-09-06,54,65.0,0.0,0.1,2.25,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-09-06,54,65.0,0.0,0.1,2.25,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-09-06,54,65.0,0.0,0.1,2.25,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-09-06,54,65.0,0.0,0.1,2.25,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-09-06,54,65.0,0.0,0.1,2.25,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-09-06,54,65.0,0.0,0.1,2.25,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-09-06,54,65.0,0.0,0.07,20.0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
