Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Guinea Pig,Species_Lionhead,Species_Rabbit Sh,Species_Species_Kitten
2025-11-20,63,45.0,0.0,12.9,31.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-20,63,45.0,0.0,11.2,12.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-20,63,45.0,0.0,7.77,0.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-20,63,45.0,0.0,7.77,0.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-20,63,45.0,0.0,7.77,16.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-20,63,45.0,0.0,7.77,0.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-20,63,45.0,0.0,7.47,7.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-20,63,45.0,0.0,5.17,9.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-20,63,45.0,0.0,4.17,77.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-20,63,45.0,0.0,4.1,39.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-20,63,45.0,0.0,4.0,6.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-20,63,45.0,0.0,4.0,6.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-20,63,45.0,0.0,3.2,8.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-11-20,63,45.0,0.0,2.7,28.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-20,63,45.0,0.0,2.63,3.5,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-11-20,63,45.0,0.0,2.63,3.5,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-11-20,63,45.0,0.0,2.6,3.75,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-11-20,63,45.0,0.0,2.6,3.75,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-11-20,63,45.0,0.0,2.57,12.0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2025-11-20,63,45.0,0.0,2.17,68.0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2025-11-20,63,45.0,0.0,1.93,49.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-20,63,45.0,0.0,1.9,37.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-20,63,45.0,0.0,1.87,25.0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2025-11-20,63,45.0,0.0,1.83,3.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-11-20,63,45.0,0.0,1.83,3.25,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-11-20,63,45.0,0.0,1.83,3.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-11-20,63,45.0,0.0,1.8,37.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-20,63,45.0,0.0,1.8,61.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-20,63,45.0,0.0,1.67,25.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-20,63,45.0,0.0,1.53,97.0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2025-11-20,63,45.0,0.0,1.4,13.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-20,63,45.0,0.0,1.4,13.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-20,63,45.0,0.0,1.3,26.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-20,63,45.0,0.0,1.2,24.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-20,63,45.0,0.0,1.2,12.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-20,63,45.0,0.0,1.17,12.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-20,63,45.0,0.0,1.13,9.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-11-20,63,45.0,0.0,1.13,107.0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2025-11-20,63,45.0,0.0,1.13,25.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-20,63,45.0,0.0,1.07,2.25,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-11-20,63,45.0,0.0,1.0,12.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-20,63,45.0,0.0,0.97,12.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-11-20,63,45.0,0.0,0.8,72.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-11-20,63,45.0,0.0,0.73,12.0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
