Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Bird,Species_Cat,Species_Dog,Species_Dwarf,Species_New Zealand Wht,Species_Rabbit Sh,Species_Species_Kitten
2025-05-29,47,60.0,0.0,7.3,7.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-05-29,47,60.0,0.0,7.07,25.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-05-29,47,60.0,0.0,5.37,6.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-05-29,47,60.0,0.0,4.87,47.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-05-29,47,60.0,0.0,3.3,87.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-05-29,47,60.0,0.0,2.7,42.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-05-29,47,60.0,0.0,2.7,26.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-05-29,47,60.0,0.0,2.47,50.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-05-29,47,60.0,0.0,2.37,62.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-05-29,47,60.0,0.0,2.07,6.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-05-29,47,60.0,0.0,1.97,2.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-05-29,47,60.0,0.0,1.97,2.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-05-29,47,60.0,0.0,1.83,49.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-05-29,47,60.0,0.0,1.53,61.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-05-29,47,60.0,0.0,1.47,73.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-05-29,47,60.0,0.0,1.43,10.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-05-29,47,60.0,0.0,1.43,10.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-05-29,47,60.0,0.0,1.33,60.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-05-29,47,60.0,0.0,1.23,13.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-05-29,47,60.0,0.0,1.2,69.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-05-29,47,60.0,0.0,0.83,12.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
