Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Lionhead,Species_Lop-Holland,Species_Rabbit Sh,Species_Species_Kitten
2025-11-09,108,51.0,0.0,0.63,12.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2025-11-09,108,51.0,0.0,0.6,12.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2025-11-09,108,51.0,0.0,0.6,2.75,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-11-09,108,51.0,0.0,0.6,2.75,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-11-09,108,51.0,0.0,0.6,2.75,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-11-09,108,51.0,0.0,0.53,24.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2025-11-09,108,51.0,0.0,0.53,24.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2025-11-09,108,51.0,0.0,0.5,12.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-11-09,108,51.0,0.0,0.47,2.5,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-11-09,108,51.0,0.0,0.47,3.75,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-11-09,108,51.0,0.0,0.47,2.5,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-11-09,108,51.0,0.0,0.47,36.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-11-09,108,51.0,0.0,0.43,72.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-11-09,108,51.0,0.0,0.43,14.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-11-09,108,51.0,0.0,0.43,12.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-11-09,108,51.0,0.0,0.37,12.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2025-11-09,108,51.0,0.0,0.37,12.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2025-11-09,108,51.0,0.0,0.37,12.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2025-11-09,108,51.0,0.0,0.37,24.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2025-11-09,108,51.0,0.0,0.37,6.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-11-09,108,51.0,0.0,0.37,50.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2025-11-09,108,51.0,0.0,0.37,12.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2025-11-09,108,51.0,0.0,0.37,12.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2025-11-09,108,51.0,0.0,0.33,4.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-11-09,108,51.0,0.0,0.33,5.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-11-09,108,51.0,0.0,0.33,4.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-11-09,108,51.0,0.0,0.33,4.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-11-09,108,51.0,0.0,0.33,48.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-11-09,108,51.0,0.0,0.33,12.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2025-11-09,108,51.0,0.0,0.33,12.0,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
2025-11-09,108,51.0,0.0,0.33,36.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-11-09,108,51.0,0.0,0.27,3.5,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
