Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Rabbit Sh,Species_Species_Kitten
2025-04-21,50,49.0,0.0,6.53,150.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-04-21,50,49.0,0.0,6.13,42.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-04-21,50,49.0,0.0,6.03,6.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-04-21,50,49.0,0.0,5.8,24.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-04-21,50,49.0,0.0,5.43,53.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-21,50,49.0,0.0,4.1,5.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-04-21,50,49.0,0.0,4.03,15.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-04-21,50,49.0,0.0,4.03,15.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-04-21,50,49.0,0.0,3.6,46.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-21,50,49.0,0.0,2.03,85.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-21,50,49.0,0.0,1.77,19.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-21,50,49.0,0.0,1.67,37.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-21,50,49.0,0.0,1.47,2.25,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-04-21,50,49.0,0.0,1.47,2.25,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-04-21,50,49.0,0.0,1.47,2.25,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-04-21,50,49.0,0.0,1.47,2.25,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-04-21,50,49.0,0.0,1.43,41.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-21,50,49.0,0.0,1.37,25.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-21,50,49.0,0.0,1.33,5.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-21,50,49.0,0.0,1.27,25.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-21,50,49.0,0.0,1.2,49.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-21,50,49.0,0.0,1.1,61.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-21,50,49.0,0.0,1.07,25.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-21,50,49.0,0.0,0.87,92.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-21,50,49.0,0.0,0.83,25.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-21,50,49.0,0.0,0.77,120.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-04-21,50,49.0,0.0,0.77,24.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-21,50,49.0,0.0,0.57,24.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-21,50,49.0,0.0,0.57,48.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-21,50,49.0,0.0,0.53,25.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-21,50,49.0,0.0,0.47,60.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-21,50,49.0,0.0,0.33,36.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-04-21,50,49.0,0.0,0.27,60.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-04-21,50,49.0,0.0,0.27,60.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-21,50,49.0,0.0,0.23,24.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-21,50,49.0,0.0,0.23,24.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-04-21,50,49.0,0.0,0.2,2.25,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-04-21,50,49.0,0.0,0.2,2.25,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-04-21,50,49.0,0.0,0.2,24.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-04-21,50,49.0,0.0,0.2,24.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-04-21,50,49.0,0.0,0.2,2.25,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-04-21,50,49.0,0.0,0.2,72.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-21,50,49.0,0.0,0.2,2.25,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-04-21,50,49.0,0.0,0.17,9.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-04-21,50,49.0,0.0,0.17,24.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-04-21,50,49.0,0.0,0.17,9.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-04-21,50,49.0,0.0,0.17,24.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-04-21,50,49.0,0.0,0.07,6.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
