Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Dwarf,Species_Lionhead,Species_Rabbit Sh,Species_Species_Kitten
2025-08-14,48,65.0,0.0,9.63,28.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-08-14,48,65.0,0.0,7.93,9.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-08-14,48,65.0,0.0,7.43,50.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-08-14,48,65.0,0.0,3.8,16.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-08-14,48,65.0,0.0,3.77,61.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-08-14,48,65.0,0.0,3.1,4.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-08-14,48,65.0,0.0,3.03,14.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-08-14,48,65.0,0.0,2.73,46.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-08-14,48,65.0,0.0,2.63,0.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-08-14,48,65.0,0.0,2.63,0.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-08-14,48,65.0,0.0,2.2,74.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-08-14,48,65.0,0.0,2.13,73.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-08-14,48,65.0,0.0,1.53,49.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-08-14,48,65.0,0.0,1.33,37.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-08-14,48,65.0,0.0,1.2,25.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-08-14,48,65.0,0.0,1.13,3.25,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-08-14,48,65.0,0.0,0.9,74.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-08-14,48,65.0,0.0,0.7,2.5,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-08-14,48,65.0,0.0,0.7,2.75,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-08-14,48,65.0,0.0,0.67,36.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2025-08-14,48,65.0,0.0,0.67,74.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-08-14,48,65.0,0.0,0.5,18.0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2025-08-14,48,65.0,0.0,0.47,63.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-08-14,48,65.0,0.0,0.43,5.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-08-14,48,65.0,0.0,0.43,5.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-08-14,48,65.0,0.0,0.43,24.0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2025-08-14,48,65.0,0.0,0.43,24.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2025-08-14,48,65.0,0.0,0.43,24.0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2025-08-14,48,65.0,0.0,0.4,24.0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
