Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Bird,Species_Cat,Species_Dog,Species_Lionhead,Species_Rabbit Sh,Species_Species_Kitten
2025-11-14,90,55.0,0.0,12.7,31.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-11-14,90,55.0,0.0,11.0,12.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-11-14,90,55.0,0.0,7.57,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-11-14,90,55.0,0.0,7.57,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-11-14,90,55.0,0.0,7.57,16.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-11-14,90,55.0,0.0,7.57,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-11-14,90,55.0,0.0,7.27,7.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-11-14,90,55.0,0.0,5.7,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-11-14,90,55.0,0.0,5.7,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-11-14,90,55.0,0.0,4.97,8.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-11-14,90,55.0,0.0,3.97,77.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2025-11-14,90,55.0,0.0,3.9,39.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-11-14,90,55.0,0.0,3.8,6.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-11-14,90,55.0,0.0,3.8,6.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-11-14,90,55.0,0.0,3.1,3.75,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-11-14,90,55.0,0.0,3.0,8.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-11-14,90,55.0,0.0,2.83,5.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
