Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Cat,Species_Dog,Species_Mouse,Species_Rabbit Sh,Species_Species_Kitten
2025-06-30,70,68.0,0.0,0.27,4.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-06-30,70,68.0,0.0,0.27,0.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-06-30,70,68.0,0.0,0.27,4.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-06-30,70,68.0,0.0,0.23,120.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-06-30,70,68.0,0.0,0.2,15.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-06-30,70,68.0,0.0,0.2,9.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-06-30,70,68.0,0.0,0.2,9.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-06-30,70,68.0,0.0,0.17,95.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-06-30,70,68.0,0.0,0.17,2.25,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-06-30,70,68.0,0.0,0.17,13.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-06-30,70,68.0,0.0,0.17,28.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-06-30,70,68.0,0.0,0.17,2.5,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-06-30,70,68.0,0.0,0.17,2.25,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-06-30,70,68.0,0.0,0.13,2.75,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-06-30,70,68.0,0.0,0.13,2.75,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-06-30,70,68.0,0.0,0.13,2.75,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-06-30,70,68.0,0.0,0.07,5.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-06-30,70,68.0,0.0,0.07,60.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
