Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Mouse,Species_Rabbit Sh,Species_Species_Kitten
2025-06-29,79,63.0,0.0,0.3,3.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-06-29,79,63.0,0.0,0.27,25.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2025-06-29,79,63.0,0.0,0.23,4.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-06-29,79,63.0,0.0,0.23,17.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-06-29,79,63.0,0.0,0.23,4.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-06-29,79,63.0,0.0,0.23,0.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-06-29,79,63.0,0.0,0.23,0.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-06-29,79,63.0,0.0,0.2,120.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2025-06-29,79,63.0,0.0,0.17,9.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-06-29,79,63.0,0.0,0.17,15.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2025-06-29,79,63.0,0.0,0.17,9.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-06-29,79,63.0,0.0,0.13,2.5,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-06-29,79,63.0,0.0,0.13,13.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2025-06-29,79,63.0,0.0,0.13,2.25,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
