Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Dutch,Species_Rabbit Sh
2025-04-08,38,46.0,0.0,6.1,150.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-04-08,38,46.0,0.0,6.0,14.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-04-08,38,46.0,0.0,6.0,14.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-04-08,38,46.0,0.0,5.7,41.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-04-08,38,46.0,0.0,5.6,5.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-04-08,38,46.0,0.0,5.37,13.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-04-08,38,46.0,0.0,5.0,52.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-08,38,46.0,0.0,3.67,5.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-04-08,38,46.0,0.0,3.6,15.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-04-08,38,46.0,0.0,3.6,15.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-04-08,38,46.0,0.0,3.17,46.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-08,38,46.0,0.0,1.8,13.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-08,38,46.0,0.0,1.6,85.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-08,38,46.0,0.0,1.33,19.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-08,38,46.0,0.0,1.23,37.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-08,38,46.0,0.0,1.0,40.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-08,38,46.0,0.0,0.93,24.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-08,38,46.0,0.0,0.83,24.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-08,38,46.0,0.0,0.77,48.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-08,38,46.0,0.0,0.7,12.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-04-08,38,46.0,0.0,0.67,60.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-08,38,46.0,0.0,0.63,24.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-08,38,46.0,0.0,0.5,72.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-08,38,46.0,0.0,0.4,12.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-08,38,46.0,0.0,0.4,24.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-08,38,46.0,0.0,0.4,25.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-08,38,46.0,0.0,0.33,25.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-08,38,46.0,0.0,0.33,24.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-08,38,46.0,0.0,0.3,18.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-08,38,46.0,0.0,0.3,12.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-04-08,38,46.0,0.0,0.27,78.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-08,38,46.0,0.0,0.23,30.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-08,38,46.0,0.0,0.17,24.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-08,38,46.0,0.0,0.13,48.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-08,38,46.0,0.0,0.1,24.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-08,38,46.0,0.0,0.07,5.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-04-08,38,46.0,0.0,0.07,5.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-04-08,38,46.0,0.0,0.03,24.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
