Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Guinea Pig,Species_Rabbit Sh
2025-04-01,36,44.0,0.0,5.87,149.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-04-01,36,44.0,0.0,5.77,14.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-04-01,36,44.0,0.0,5.47,41.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-04-01,36,44.0,0.0,5.37,5.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-04-01,36,44.0,0.0,5.37,5.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-04-01,36,44.0,0.0,5.37,5.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-04-01,36,44.0,0.0,5.13,23.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-04-01,36,44.0,0.0,4.77,52.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-01,36,44.0,0.0,3.43,4.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-04-01,36,44.0,0.0,3.37,15.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-04-01,36,44.0,0.0,3.37,15.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-04-01,36,44.0,0.0,2.93,45.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-01,36,44.0,0.0,1.77,73.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-04-01,36,44.0,0.0,1.57,13.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-01,36,44.0,0.0,1.37,85.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-01,36,44.0,0.0,1.13,60.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-01,36,44.0,0.0,1.13,96.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-01,36,44.0,0.0,1.1,18.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-01,36,44.0,0.0,1.0,36.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-01,36,44.0,0.0,0.77,40.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-01,36,44.0,0.0,0.73,68.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-01,36,44.0,0.0,0.7,24.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-01,36,44.0,0.0,0.6,24.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-01,36,44.0,0.0,0.53,48.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-01,36,44.0,0.0,0.5,48.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-04-01,36,44.0,0.0,0.5,24.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-04-01,36,44.0,0.0,0.5,34.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-01,36,44.0,0.0,0.43,60.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-01,36,44.0,0.0,0.4,24.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-01,36,44.0,0.0,0.27,72.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-01,36,44.0,0.0,0.27,24.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-01,36,44.0,0.0,0.27,14.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-01,36,44.0,0.0,0.2,12.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-04-01,36,44.0,0.0,0.17,24.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-01,36,44.0,0.0,0.1,25.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-04-01,36,44.0,0.0,0.03,24.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
