Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Dutch,Species_Rabbit Sh
2025-04-09,38,46.0,0.0,6.13,150.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2025-04-09,38,46.0,0.0,6.03,15.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2025-04-09,38,46.0,0.0,6.03,15.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2025-04-09,38,46.0,0.0,5.73,41.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2025-04-09,38,46.0,0.0,5.63,5.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-04-09,38,46.0,0.0,5.4,13.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-04-09,38,46.0,0.0,5.03,52.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-09,38,46.0,0.0,3.7,5.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-04-09,38,46.0,0.0,3.63,15.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-04-09,38,46.0,0.0,3.63,15.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-04-09,38,46.0,0.0,3.2,46.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-09,38,46.0,0.0,1.83,13.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-09,38,46.0,0.0,1.63,85.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-09,38,46.0,0.0,1.37,19.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-09,38,46.0,0.0,1.27,37.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-09,38,46.0,0.0,1.03,40.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-09,38,46.0,0.0,0.97,24.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-09,38,46.0,0.0,0.87,24.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-09,38,46.0,0.0,0.8,48.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-09,38,46.0,0.0,0.73,12.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-04-09,38,46.0,0.0,0.7,60.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-09,38,46.0,0.0,0.67,24.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-09,38,46.0,0.0,0.63,36.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2025-04-09,38,46.0,0.0,0.53,72.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-09,38,46.0,0.0,0.43,25.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-09,38,46.0,0.0,0.43,12.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-09,38,46.0,0.0,0.43,24.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-09,38,46.0,0.0,0.37,25.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-09,38,46.0,0.0,0.37,24.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-09,38,46.0,0.0,0.33,18.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-09,38,46.0,0.0,0.33,12.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-04-09,38,46.0,0.0,0.2,24.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-09,38,46.0,0.0,0.17,48.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-09,38,46.0,0.0,0.13,24.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-09,38,46.0,0.0,0.1,5.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-04-09,38,46.0,0.0,0.1,5.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-04-09,38,46.0,0.0,0.03,78.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-09,38,46.0,0.0,0.03,61.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
