Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Bird,Species_Cat,Species_Dog,Species_Dwarf,Species_Rabbit Sh,Species_Species_Kitten
2025-08-24,65,69.0,0.0,9.97,28.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2025-08-24,65,69.0,0.0,8.27,9.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2025-08-24,65,69.0,0.0,4.83,0.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2025-08-24,65,69.0,0.0,4.83,0.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2025-08-24,65,69.0,0.0,4.13,16.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-08-24,65,69.0,0.0,4.1,61.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-08-24,65,69.0,0.0,3.37,15.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2025-08-24,65,69.0,0.0,2.97,0.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2025-08-24,65,69.0,0.0,2.97,0.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2025-08-24,65,69.0,0.0,2.53,74.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-08-24,65,69.0,0.0,2.47,74.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-08-24,65,69.0,0.0,1.73,13.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-08-24,65,69.0,0.0,1.67,37.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-08-24,65,69.0,0.0,1.23,75.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-08-24,65,69.0,0.0,1.07,3.5,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-08-24,65,69.0,0.0,1.07,3.5,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-08-24,65,69.0,0.0,1.07,3.5,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-08-24,65,69.0,0.0,1.07,3.5,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-08-24,65,69.0,0.0,0.8,64.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-08-24,65,69.0,0.0,0.6,76.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-08-24,65,69.0,0.0,0.6,156.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-08-24,65,69.0,0.0,0.53,12.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-08-24,65,69.0,0.0,0.5,5.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2025-08-24,65,69.0,0.0,0.5,5.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2025-08-24,65,69.0,0.0,0.47,0.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2025-08-24,65,69.0,0.0,0.43,10.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-08-24,65,69.0,0.0,0.43,6.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-08-24,65,69.0,0.0,0.4,60.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-08-24,65,69.0,0.0,0.33,2.5,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-08-24,65,69.0,0.0,0.33,2.5,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-08-24,65,69.0,0.0,0.33,2.5,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-08-24,65,69.0,0.0,0.3,12.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-08-24,65,69.0,0.0,0.3,36.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-08-24,65,69.0,0.0,0.3,36.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-08-24,65,69.0,0.0,0.27,2.25,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-08-24,65,69.0,0.0,0.27,25.0,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
2025-08-24,65,69.0,0.0,0.27,4.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-08-24,65,69.0,0.0,0.27,24.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-08-24,65,69.0,0.0,0.27,60.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-08-24,65,69.0,0.0,0.27,12.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-08-24,65,69.0,0.0,0.27,72.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-08-24,65,69.0,0.0,0.2,18.0,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
2025-08-24,65,69.0,0.0,0.2,5.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-08-24,65,69.0,0.0,0.2,72.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-08-24,65,69.0,0.0,0.2,36.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-08-24,65,69.0,0.0,0.17,2.25,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-08-24,65,69.0,0.0,0.17,5.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-08-24,65,69.0,0.0,0.17,36.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-08-24,65,69.0,0.0,0.17,2.25,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-08-24,65,69.0,0.0,0.17,3.25,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-08-24,65,69.0,0.0,0.17,24.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-08-24,65,69.0,0.0,0.17,2.25,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-08-24,65,69.0,0.0,0.17,6.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-08-24,65,69.0,0.0,0.17,2.25,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-08-24,65,69.0,0.0,0.13,7.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-08-24,65,69.0,0.0,0.13,7.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-08-24,65,69.0,0.0,0.13,24.0,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
2025-08-24,65,69.0,0.0,0.13,48.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-08-24,65,69.0,0.0,0.1,3.25,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-08-24,65,69.0,0.0,0.1,10.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-08-24,65,69.0,0.0,0.07,24.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-08-24,65,69.0,0.0,0.07,74.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-08-24,65,69.0,0.0,0.07,132.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-08-24,65,69.0,0.0,0.03,24.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-08-24,65,69.0,0.0,0.03,2.75,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
