Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Bird,Species_Cat,Species_Dog,Species_Guinea Pig,Species_Rabbit Sh,Species_Species_Kitten
2025-10-11,74,53.0,0.0,0.3,36.0,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-10-11,74,53.0,0.0,0.3,24.0,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-10-11,74,53.0,0.0,0.27,5.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-10-11,74,53.0,0.0,0.27,24.0,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-10-11,74,53.0,0.0,0.27,2.25,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-10-11,74,53.0,0.0,0.27,13.0,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-10-11,74,53.0,0.0,0.27,6.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-10-11,74,53.0,0.0,0.27,11.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-10-11,74,53.0,0.0,0.27,2.25,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-10-11,74,53.0,0.0,0.23,72.0,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-10-11,74,53.0,0.0,0.23,56.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-10-11,74,53.0,0.0,0.2,118.0,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-10-11,74,53.0,0.0,0.2,87.0,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-10-11,74,53.0,0.0,0.2,24.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-10-11,74,53.0,0.0,0.2,96.0,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-10-11,74,53.0,0.0,0.2,120.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-10-11,74,53.0,0.0,0.17,8.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-10-11,74,53.0,0.0,0.13,21.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-10-11,74,53.0,0.0,0.07,5.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-10-11,74,53.0,0.0,0.07,2.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-10-11,74,53.0,0.0,0.07,2.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-10-11,74,53.0,0.0,0.03,65.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-10-11,74,53.0,0.0,0.03,48.0,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-10-11,74,53.0,0.0,0.03,13.0,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
