Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Dwarf,Species_Lionhead,Species_Rabbit Sh,Species_Species_Kitten
2025-08-15,46,64.0,50.0,9.67,28.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-08-15,46,64.0,50.0,7.97,9.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-08-15,46,64.0,50.0,7.47,50.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-08-15,46,64.0,50.0,3.83,16.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-08-15,46,64.0,50.0,3.8,61.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-08-15,46,64.0,50.0,3.07,14.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2025-08-15,46,64.0,50.0,2.77,46.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-08-15,46,64.0,50.0,2.67,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-08-15,46,64.0,50.0,2.67,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-08-15,46,64.0,50.0,2.43,74.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-08-15,46,64.0,50.0,2.23,74.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-08-15,46,64.0,50.0,2.17,73.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-08-15,46,64.0,50.0,1.37,37.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-08-15,46,64.0,50.0,1.23,25.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-08-15,46,64.0,50.0,0.93,74.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-08-15,46,64.0,50.0,0.73,2.75,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-08-15,46,64.0,50.0,0.7,36.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
2025-08-15,46,64.0,50.0,0.53,18.0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
2025-08-15,46,64.0,50.0,0.5,63.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-08-15,46,64.0,50.0,0.47,5.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
